side	eta	phi	depth	dphi	det	RBX	wedge	rm	BV/pix	card	QIE	rm_fib	fib_ch	pp col	pp row	pp coupler	pp LC	dodec	crate	uhtr	uhtr_fib	fedid	QIEid		i	cr	sl	tb	dcc	spigot	uhtr_fib	fib_ch	subdet	RM	rm_fib	fib_ch		i	cr	sl	tb	dcc	spigot	uhtr_fib	fib_ch	subdet	ieta	iphi	depth
1	10	63	1	1	HB	HBP17	17	1	9	2	0	4	0	3	1	HBP17_RM1A	4	1	34	10	0	1114	100794		4E281480	34	10	u	0	0	0	0	CRF	5	4	0		45401	34	10	u	0	0	0	0	HB	10	63	1
1	6	63	1	1	HB	HBP17	17	1	5	2	1	4	1	3	1	HBP17_RM1A	4	1	34	10	0	1114	100794		4E281481	34	10	u	0	0	0	1	CRF	5	4	1		45401	34	10	u	0	0	0	1	HB	6	63	1
1	2	63	1	1	HB	HBP17	17	1	2	2	2	4	2	3	1	HBP17_RM1A	4	1	34	10	0	1114	100794		4E281482	34	10	u	0	0	0	2	CRF	5	4	2		45401	34	10	u	0	0	0	2	HB	2	63	1
1	10	64	1	1	HB	HBP17	17	2	4	2	0	4	0	3	2	HBP17_RM2A	4	2	34	10	1	1114	100026		4E281880	34	10	u	0	0	1	0	CRF	6	4	0		45411	34	10	u	0	0	1	0	HB	10	64	1
1	6	64	1	1	HB	HBP17	17	2	8	2	1	4	1	3	2	HBP17_RM2A	4	2	34	10	1	1114	100026		4E281881	34	10	u	0	0	1	1	CRF	6	4	1		45411	34	10	u	0	0	1	1	HB	6	64	1
1	2	64	1	1	HB	HBP17	17	2	13	2	2	4	2	3	2	HBP17_RM2A	4	2	34	10	1	1114	100026		4E281882	34	10	u	0	0	1	2	CRF	6	4	2		45411	34	10	u	0	0	1	2	HB	2	64	1
1	10	65	1	1	HB	HBP17	17	3	16	2	0	4	0	3	3	HBP17_RM3A	4	3	34	10	2	1114	100018		4E281C80	34	10	u	0	0	2	0	CRF	7	4	0		45421	34	10	u	0	0	2	0	HB	10	65	1
1	6	65	1	1	HB	HBP17	17	3	12	2	1	4	1	3	3	HBP17_RM3A	4	3	34	10	2	1114	100018		4E281C81	34	10	u	0	0	2	1	CRF	7	4	1		45421	34	10	u	0	0	2	1	HB	6	65	1
1	2	65	1	1	HB	HBP17	17	3	7	2	2	4	2	3	3	HBP17_RM3A	4	3	34	10	2	1114	100018		4E281C82	34	10	u	0	0	2	2	CRF	7	4	2		45421	34	10	u	0	0	2	2	HB	2	65	1
1	10	66	1	1	HB	HBP17	17	4	11	2	0	4	0	3	4	HBP17_RM4A	4	4	34	10	3	1114	100677		4E282080	34	10	u	0	0	3	0	CRF	8	4	0		45431	34	10	u	0	0	3	0	HB	10	66	1
1	6	66	1	1	HB	HBP17	17	4	15	2	1	4	1	3	4	HBP17_RM4A	4	4	34	10	3	1114	100677		4E282081	34	10	u	0	0	3	1	CRF	8	4	1		45431	34	10	u	0	0	3	1	HB	6	66	1
1	2	66	1	1	HB	HBP17	17	4	18	2	2	4	2	3	4	HBP17_RM4A	4	4	34	10	3	1114	100677		4E282082	34	10	u	0	0	3	2	CRF	8	4	2		45431	34	10	u	0	0	3	2	HB	2	66	1
1	8	63	1	1	HB	HBP17	17	1	12	2	4	5	0	4	1	HBP17_RM1B	1	1	34	10	12	1114	100794		4E2814A0	34	10	u	0	0	12	0	CRF	5	5	0		454C1	34	10	u	0	0	12	0	HB	8	63	1
1	4	63	1	1	HB	HBP17	17	1	7	2	5	5	1	4	1	HBP17_RM1B	1	1	34	10	12	1114	100794		4E2814A1	34	10	u	0	0	12	1	CRF	5	5	1		454C1	34	10	u	0	0	12	1	HB	4	63	1
