iEta,iPhi,Depth,RM,RM fiber,channel number,Mean TDC time[ns],Uncertainty,Adjustment [ns],Adjustment [phase units]
  16,  63,    4,  1,2,4,105.6,0.29,0.4,1
  16,  64,    4,  2,7,4,104.2,0.27,1.8,4
  16,  65,    4,  3,2,4,104.2,0.28,1.8,4
  16,  66,    4,  4,7,4,105.4,0.32,0.6,1
  17,  63,    2,  1,2,3,104.7,0.10,1.3,3
  17,  64,    2,  2,7,3,104.6,0.08,1.4,3
  17,  65,    2,  3,2,3,103.3,0.09,2.7,5
  17,  66,    2,  4,7,3,104.9,0.10,1.1,2
  17,  63,    3,  1,6,2,102.6,0.38,3.4,7
  17,  64,    3,  2,4,3,103.4,0.30,2.6,5
  17,  65,    3,  3,6,2,102.2,0.29,3.8,8
  17,  66,    3,  4,4,3,101.9,0.29,4.1,8
  18,  63,    2,  1,2,2,103.8,0.10,2.2,4
  18,  64,    2,  2,7,2,104.6,0.08,1.4,3
  18,  65,    2,  3,2,2,102.5,0.07,3.5,7
  18,  66,    2,  4,7,2,103.7,0.08,2.3,5
  18,  63,    3,  1,6,0,102.0,0.14,4.0,8
  18,  64,    3,  2,4,5,102.6,0.14,3.4,7
  18,  65,    3,  3,6,0,101.3,0.12,4.7,9
  18,  66,    3,  4,4,5,101.3,0.13,4.7,9
  18,  63,    4,  1,6,5,101.4,0.24,4.6,9
  18,  64,    4,  2,4,1,102.5,0.26,3.5,7
  18,  65,    4,  3,6,5,101.7,0.34,4.3,9
  18,  66,    4,  4,4,1,101.7,0.25,4.3,9
  18,  63,    5,  1,6,3,102.5,0.51,3.5,7
  18,  64,    5,  2,4,2,101.7,0.46,4.3,9
  18,  65,    5,  3,6,3,101.6,0.51,4.4,9
  18,  66,    5,  4,4,2,100.0,0.34,6.0,12
  19,  63,    1,  1,7,0,106.6,0.06,-0.6,-1
  19,  64,    1,  2,2,0,108.1,0.06,-2.1,-4
  19,  65,    1,  3,7,0,106.4,0.06,-0.4,-1
  19,  66,    1,  4,2,0,106.4,0.06,-0.4,-1
  19,  63,    2,  1,1,0,102.6,0.09,3.4,7
  19,  64,    2,  2,8,0,102.7,0.09,3.3,7
  19,  65,    2,  3,1,0,101.3,0.08,4.7,9
  19,  66,    2,  4,8,0,102.5,0.07,3.5,7
  19,  63,    3,  1,3,4,102.5,0.11,3.5,7
  19,  64,    3,  2,6,4,102.2,0.16,3.8,8
  19,  65,    3,  3,3,4,101.5,0.13,4.5,9
  19,  66,    3,  4,6,4,102.4,0.11,3.6,7
  19,  63,    4,  1,7,4,101.8,0.18,4.2,8
  19,  64,    4,  2,2,4,102.5,0.20,3.5,7
  19,  65,    4,  3,7,4,101.3,0.21,4.7,9
  19,  66,    4,  4,2,4,102.2,0.24,3.8,8
  19,  63,    5,  1,5,0,101.1,0.43,4.9,10
  19,  64,    5,  2,1,0,100.3,0.42,5.7,11
  19,  65,    5,  3,5,0,99.4,0.44,6.6,13
  19,  66,    5,  4,1,0,99.9,0.37,6.1,12
  19,  63,    6,  1,8,0,98.8,0.87,7.2,14
  19,  64,    6,  2,1,1,104.1,1.32,1.9,4
  19,  65,    6,  3,8,0,101.6,1.49,4.4,9
  19,  66,    6,  4,1,1,104.8,2.19,0.0,0
  20,  63,    1,  1,7,1,107.2,0.05,-1.2,-2
  20,  64,    1,  2,2,1,107.1,0.05,-1.1,-2
  20,  65,    1,  3,7,1,106.3,0.05,-0.3,-1
  20,  66,    1,  4,2,1,106.2,0.05,-0.2,0
  20,  63,    2,  1,8,3,103.2,0.07,2.8,6
  20,  64,    2,  2,1,3,104.3,0.06,1.7,3
  20,  65,    2,  3,8,3,102.7,0.08,3.3,7
  20,  66,    2,  4,1,3,102.4,0.06,3.6,7
  20,  63,    3,  1,1,1,102.5,0.11,3.5,7
  20,  64,    3,  2,8,1,102.3,0.13,3.7,7
  20,  65,    3,  3,1,1,101.4,0.12,4.6,9
  20,  66,    3,  4,8,1,101.2,0.11,4.8,10
  20,  63,    4,  1,8,5,102.0,0.21,4.0,8
  20,  64,    4,  2,1,5,103.5,0.24,2.5,5
  20,  65,    4,  3,8,5,102.3,0.23,3.7,7
  20,  66,    4,  4,1,5,102.0,0.17,4.0,8
  20,  63,    5,  1,5,3,101.1,0.28,4.9,10
  20,  64,    5,  2,3,2,101.7,0.40,4.3,9
  20,  65,    5,  3,5,3,101.0,0.50,5.0,10
  20,  66,    5,  4,3,2,100.0,0.28,6.0,12
  20,  63,    6,  1,5,2,100.3,0.54,5.7,11
  20,  64,    6,  2,3,5,103.5,1.06,2.5,5
  20,  65,    6,  3,5,2,102.8,1.40,3.3,7
  20,  66,    6,  4,3,5,100.9,1.14,5.1,10
