nDigis,iEta,iPhi,Depth,Mean TDC time[ns], TDC time RMS[ns], Uncertainty,Adjustment[ns],Adjustment[phase units],Net adjustment combined with first round
2313,-16,38,4,80.25,5.21,0.108,0.7,1,-11
2926,-16,37,4,80.60,4.74,0.088,0.4,1,-10
2604,-16,36,4,80.02,4.78,0.094,1.0,2,-8
2304,-16,35,4,80.21,5.18,0.108,0.8,2,-10
2726,-16,34,4,80.24,4.72,0.090,0.8,2,-8
3454,-16,33,4,80.53,5.12,0.087,0.5,1,-8
2320,-16,32,4,80.33,4.76,0.099,0.7,1,-7
3159,-16,30,4,80.32,5.32,0.095,0.7,1,-12
3228,-16,29,4,80.34,4.92,0.087,0.7,1,-9
1984,-16,28,4,80.02,4.84,0.109,1.0,2,-8
1861,-16,27,4,80.51,4.79,0.111,0.5,1,-8
2955,-16,26,4,79.99,4.92,0.090,1.0,2,-11
3856,-16,25,4,80.29,5.10,0.082,0.7,1,-11
2331,-16,24,4,80.06,4.54,0.094,0.9,2,-8
2265,-16,23,4,79.98,5.00,0.105,1.0,2,-11
2758,-16,22,4,78.90,4.91,0.093,2.1,4,-11
3596,-16,21,4,78.62,4.86,0.081,2.4,5,-10
2475,-16,20,4,78.66,4.66,0.094,2.3,5,-9
1999,-16,19,4,79.03,4.95,0.111,2.0,4,-8
2823,-16,18,4,79.10,4.85,0.091,1.9,4,-9
3563,-16,17,4,79.31,5.15,0.086,1.7,3,-10
1913,-16,16,4,79.25,4.79,0.109,1.8,4,-8
1634,-16,15,4,78.94,4.75,0.117,2.1,4,-13
2677,-16,14,4,79.28,5.01,0.097,1.7,3,-11
3303,-16,13,4,79.05,5.14,0.089,2.0,4,-11
2002,-16,12,4,79.17,5.10,0.114,1.8,4,-9
2339,-16,11,4,79.22,5.05,0.105,1.8,4,-10
2334,-16,10,4,79.32,4.73,0.098,1.7,3,-7
3538,-16,9,4,78.83,5.03,0.085,2.2,4,-13
1936,-16,8,4,79.19,4.70,0.107,1.8,4,-5
1907,-16,7,4,79.37,4.96,0.114,1.6,3,-9
2606,-16,6,4,79.19,5.08,0.099,1.8,4,-12
2808,16,71,4,79.98,5.21,0.098,1.0,2,-16
3954,16,72,4,79.85,4.99,0.079,1.2,2,-16
1126,-29,71,3,78.14,2.94,0.088,2.9,6,-21
710,-29,71,2,78.86,2.38,0.089,2.1,4,-20
100322,-29,71,1,79.44,1.89,0.006,1.6,3,-12
731,-29,69,3,79.82,2.02,0.075,1.2,2,-21
24182,-29,69,2,81.74,1.80,0.012,-0.7,-1,-17
298395,-29,69,1,81.75,1.40,0.003,-0.8,-2,-16
186,-29,67,3,79.73,2.05,0.150,1.3,3,-18
8732,-29,67,2,80.28,1.20,0.013,0.7,1,-12
100949,-29,67,1,80.49,1.76,0.006,0.5,1,-12
1042,-29,65,3,79.90,2.09,0.065,1.1,2,-21
65114,-29,65,2,80.56,1.45,0.006,0.4,1,-14
109602,-29,65,1,80.44,1.09,0.003,0.6,1,-13
38771,-29,63,3,80.66,1.88,0.010,0.3,1,-12
19856,-29,63,2,80.20,1.25,0.009,0.8,2,-12
48573,-29,63,1,80.78,1.56,0.007,0.2,0,-13
28046,-29,61,3,80.57,1.86,0.011,0.4,1,-14
134214,-29,61,2,80.77,1.46,0.004,0.2,0,-15
129048,-29,61,1,80.75,1.08,0.003,0.3,1,-13
34363,-29,59,3,80.52,1.78,0.010,0.5,1,-13
27797,-29,59,2,80.71,1.50,0.009,0.3,1,-12
45389,-29,59,1,80.36,1.45,0.007,0.6,1,-12
62289,-29,57,3,80.76,2.10,0.008,0.2,0,-15
20704,-29,57,2,80.39,1.85,0.013,0.6,1,-14
266004,-29,57,1,80.88,1.31,0.003,0.1,0,-13
977,-29,55,3,80.00,1.89,0.060,1.0,2,-17
1780,-29,55,2,79.74,2.28,0.054,1.3,3,-19
1168,-29,55,1,80.58,1.44,0.042,0.4,1,-9
2224,-29,53,3,79.48,2.53,0.054,1.5,3,-21
2323,-29,53,2,79.90,2.23,0.046,1.1,2,-20
197236,-29,53,1,80.34,1.58,0.004,0.7,1,-13
1654,-29,51,3,79.48,2.69,0.066,1.5,3,-19
1867,-29,51,2,79.46,2.10,0.049,1.5,3,-17
191460,-29,51,1,80.51,1.81,0.004,0.5,1,-10
21932,-29,49,3,80.38,2.11,0.014,0.6,1,-14
3969,-29,49,2,79.76,2.20,0.035,1.2,2,-20
539273,-29,49,1,80.71,1.34,0.002,0.3,1,-12
7060,-29,47,3,80.59,1.73,0.021,0.4,1,-10
13731,-29,47,2,80.76,0.84,0.007,0.2,0,-11
96413,-29,47,1,80.49,1.78,0.006,0.5,1,-12
3321,-29,45,3,79.65,2.50,0.043,1.3,3,-21
16319,-29,45,2,80.55,1.59,0.012,0.4,1,-14
