nDigis,iEta,iPhi,Depth,Mean TDC time[ns], TDC time RMS[ns], Uncertainty,Adjustment[ns],Adjustment[phase units]
48042,-29,71,1,88.32,1.91,0.009,-7.3,-15
143556,-29,1,1,88.96,1.65,0.004,-8.0,-16
568,-29,71,2,93.06,2.56,0.107,-12.1,-24
3087,-29,1,2,93.92,3.16,0.057,-12.9,-26
2750,-29,71,3,94.59,4.02,0.077,-13.6,-27
1888,-29,1,3,94.67,3.49,0.080,-13.7,-27
332800,-28,71,1,88.78,1.64,0.003,-7.8,-16
437321,-28,1,1,89.28,1.44,0.002,-8.3,-17
21500,-28,71,2,94.82,3.55,0.024,-13.8,-28
27109,-28,1,2,92.28,2.21,0.013,-11.3,-23
48587,-28,71,3,93.50,3.35,0.015,-12.5,-25
54542,-28,1,3,93.77,2.97,0.013,-12.8,-26
152277,-28,71,4,89.06,1.93,0.005,-8.1,-16
155706,-28,1,4,90.14,1.92,0.005,-9.1,-18
323691,-28,71,5,89.77,2.33,0.004,-8.8,-18
362151,-28,1,5,89.74,2.38,0.004,-8.7,-17
192225,-28,71,6,89.21,2.58,0.006,-8.2,-16
505202,-28,1,6,89.22,2.79,0.004,-8.2,-16
120228,-28,71,7,89.30,3.09,0.009,-8.3,-17
128767,-28,1,7,90.05,3.51,0.010,-9.1,-18
291638,-27,71,1,88.80,2.21,0.004,-7.8,-16
455193,-27,1,1,89.84,2.08,0.003,-8.8,-18
98194,-27,71,2,87.96,1.60,0.005,-7.0,-14
63245,-27,1,2,88.69,1.46,0.006,-7.7,-15
47707,-27,71,3,87.76,1.65,0.008,-6.8,-14
92446,-27,1,3,87.96,1.64,0.005,-7.0,-14
26638,-27,71,4,88.06,1.76,0.011,-7.1,-14
64989,-27,1,4,88.97,1.98,0.008,-8.0,-16
16162,-27,71,5,88.14,2.03,0.016,-7.1,-14
59754,-27,1,5,89.18,2.49,0.010,-8.2,-16
17836,-27,71,6,87.37,3.22,0.024,-6.4,-13
28885,-27,1,6,88.83,3.36,0.020,-7.8,-16
9706,-27,71,7,89.24,4.19,0.042,-8.2,-16
11785,-27,1,7,90.19,3.98,0.037,-9.2,-18
482435,-26,71,1,89.73,2.36,0.003,-8.7,-17
448998,-26,1,1,89.69,2.22,0.003,-8.7,-17
100938,-26,71,2,88.19,1.68,0.005,-7.2,-14
