iEta,iPhi,Depth,CapID,RM,RM fiber,channel,Best DAC setting,Best mean pedestal,Error on best mean pedestal
16,63,4,3,1,2,4,1,9.09,0.2
16,64,4,3,2,7,4,8,8.94,0.2
16,65,4,3,3,2,4,2,9.05,0.2
16,66,4,3,4,7,4,1,9.27,0.21
17,63,2,3,1,2,3,8,8.46,0.19
17,64,2,3,2,7,3,9,9.17,0.21
17,65,2,3,3,2,3,11,9.59,0.22
17,66,2,3,4,7,3,8,9.34,0.21
17,63,3,3,1,6,2,0,9.02,0.2
17,64,3,3,2,4,3,8,8.55,0.19
17,65,3,3,3,6,2,2,9.29,0.21
17,66,3,3,4,4,3,11,9.27,0.21
18,63,2,3,1,2,2,8,9.14,0.21
18,64,2,3,2,7,2,1,8.45,0.19
18,65,2,3,3,2,2,1,9.04,0.2
18,66,2,3,4,7,2,0,9.37,0.21
18,63,3,3,1,6,0,9,9.51,0.21
18,64,3,3,2,4,5,8,8.43,0.19
18,65,3,3,3,6,0,9,9.55,0.21
18,66,3,3,4,4,5,0,8.8,0.2
18,63,4,3,1,6,5,1,9.3,0.21
18,64,4,3,2,4,1,10,8.99,0.2
18,65,4,3,3,6,5,0,8.43,0.19
18,66,4,3,4,4,1,9,9.36,0.21
18,63,5,3,1,6,3,10,8.55,0.19
18,64,5,3,2,4,2,0,9.19,0.21
18,65,5,3,3,6,3,9,9.25,0.21
18,66,5,3,4,4,2,9,8.44,0.19
19,63,1,3,1,7,0,8,9.53,0.21
19,64,1,3,2,2,0,0,8.77,0.2
19,65,1,3,3,7,0,1,8.44,0.19
19,66,1,3,4,2,0,1,8.43,0.19
19,63,2,3,1,1,0,8,8.49,0.19
19,64,2,3,2,8,0,1,9.25,0.21
19,65,2,3,3,1,0,0,8.38,0.19
19,66,2,3,4,8,0,8,9.05,0.2
19,63,3,3,1,3,4,10,9.33,0.21
19,64,3,3,2,6,4,1,8.63,0.19
19,65,3,3,3,3,4,3,8.52,0.19
19,66,3,3,4,6,4,0,8.46,0.19
19,63,4,3,1,7,4,0,9.44,0.21
19,64,4,3,2,2,4,8,9.41,0.21
19,65,4,3,3,7,4,1,9.18,0.21
19,66,4,3,4,2,4,8,8.83,0.2
