#ZDCM_ch	slot	QIE_ch	MeanTS	SigmaTS	MeanNs	SigmaNs	ShiftNs
ZDCM_EM1	5	0	4.49	0.04	112.2	0.9	10.1
ZDCM_EM2	5	1	4.42	0.03	110.5	0.8	8.4
ZDCM_EM3	5	2	4.42	0.03	110.5	0.8	8.3
ZDCM_EM4	5	3	4.43	0.03	110.7	0.7	8.5
ZDCM_EM5	5	4	4.42	0.02	110.4	0.6	8.2
ZDCM_HAD1	5	5	4.58	0.05	114.5	1.2	12.4
ZDCM_HAD2	5	6	4.97	0.06	124.2	1.5	22.1
ZDCM_HAD3	5	7	4.90	0.07	122.5	1.7	20.3
ZDCM_HAD4	5	8	5.09	0.01	127.2	0.2	25.0
ZDCM_RPD0	3	0	4.85	0.17	121.2	4.2	8.8
ZDCM_RPD1	3	1	4.59	0.13	114.9	3.1	2.4
ZDCM_RPD2	3	2	4.80	0.17	119.9	4.3	7.5
ZDCM_RPD3	3	3	4.98	0.15	124.5	3.8	12.1
ZDCM_RPD4	3	4	4.85	0.17	121.2	4.2	8.8
ZDCM_RPD5	3	5	4.58	0.14	114.4	3.5	2.0
ZDCM_RPD6	3	6	4.79	0.20	119.7	5.0	7.3
ZDCM_RPD7	3	7	5.07	0.22	126.6	5.5	14.2
ZDCM_RPD8	3	8	4.50	0.06	112.4	1.6	0.0
ZDCM_RPD9	3	9	4.91	0.15	122.6	3.7	10.2
ZDCM_RPD10	3	10	4.95	0.11	123.9	2.8	11.5
ZDCM_RPD11	3	11	4.79	0.17	119.7	4.3	7.3
ZDCM_RPD12	3	12	4.50	0.08	112.4	2.0	0.0
ZDCM_RPD13	3	13	4.80	0.22	119.9	5.4	7.5
ZDCM_RPD14	3	14	4.91	0.18	122.6	4.5	10.2
ZDCM_RPD15	3	15	4.67	0.20	116.8	5.1	4.4

ZDCP_EM1	5	0	4.92	0.08	122.9	2.0	20.7
ZDCP_EM2	5	1	5.08	0.01	127.0	0.3	24.9
ZDCP_EM3	5	2	5.01	0.05	125.3	1.2	23.1
ZDCP_EM4	5	3	5.03	0.04	125.7	1.0	23.6
ZDCP_EM5	5	4	4.98	0.06	124.6	1.4	22.4
ZDCP_HAD1	5	5	5.06	0.03	126.4	0.8	24.3
ZDCP_HAD2	5	6	5.09	0.01	127.2	0.2	25.0
ZDCP_HAD3	5	7	5.09	0.01	127.2	0.3	25.0
ZDCP_HAD4	5	8	5.09	0.01	127.2	0.3	25.0
ZDCP_RPD0	3	0	5.25	0.22	131.4	5.5	18.9
ZDCP_RPD1	3	1	4.89	0.15	122.3	3.8	9.9
ZDCP_RPD2	3	2	5.08	0.19	127.1	4.7	14.7
ZDCP_RPD3	3	3	5.06	0.17	126.5	4.4	14.1
ZDCP_RPD4	3	4	5.20	0.18	129.9	4.6	17.5
ZDCP_RPD5	3	5	5.13	0.22	128.3	5.4	15.9
ZDCP_RPD6	3	6	4.98	0.16	124.4	4.0	12.0
ZDCP_RPD7	3	7	5.12	0.14	128.1	3.5	15.7
ZDCP_RPD8	3	8	5.22	0.24	130.5	5.9	18.1
ZDCP_RPD9	3	9	5.13	0.20	128.2	5.0	15.8
ZDCP_RPD10	3	10	5.10	0.16	127.5	4.1	15.1
ZDCP_RPD11	3	11	5.15	0.22	128.8	5.5	16.4
ZDCP_RPD12	3	12	5.00	0.18	124.9	4.6	12.5
ZDCP_RPD13	3	13	4.95	0.18	123.7	4.4	11.2
ZDCP_RPD14	3	14	4.99	0.17	124.8	4.2	12.4
ZDCP_RPD15	3	15	5.22	0.36	130.4	9.0	18.0
